City,State,Metro,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
New York,NY,New York,Queens,561000,564100,566900,569400,571400,573400,575700,579700,584500,589100,594100,600100
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,560100,563500,566400,569600,572400,575200,579200,585000,591400,595900,599800,604900
Chicago,IL,Chicago,Cook,204400,205200,206500,208400,209900,210900,211900,213500,214600,215600,217100,218200
Houston,TX,Houston,Harris,146800,148000,149000,149900,151000,152600,154300,155800,157200,158600,159900,161300
Philadelphia,PA,Philadelphia,Philadelphia,111200,112000,113100,114100,115300,116900,118700,120600,122300,123700,125200,126600
Phoenix,AZ,Phoenix,Maricopa,186200,187400,188600,189900,191200,192700,194700,196700,198200,199700,201700,203500
Las Vegas,NV,Las Vegas,Clark,195600,196600,197900,199400,200600,201700,203200,205000,206800,208600,210100,211400
San Antonio,TX,San Antonio,Bexar,137900,138500,138900,139800,140800,141400,142100,143300,144300,145000,145900,147200
San Diego,CA,San Diego,San Diego,529700,532600,534200,536600,538800,540000,541900,545200,548800,552300,556700,560500
Dallas,TX,Dallas-Fort Worth,Dallas,124600,125300,126700,128600,130900,133600,136700,139600,142400,145300,148200,150800
San Jose,CA,San Jose,Santa Clara,812300,816500,820800,824600,826300,826700,827900,830200,834200,839200,845600,854900
Jacksonville,FL,Jacksonville,Duval,126100,127100,128200,129800,131300,132600,133800,134900,135400,136400,138400,140800
San Francisco,CA,San Francisco,San Francisco,1141600,1147300,1148900,1146800,1144000,1142000,1139300,1138700,1144400,1152600,1160300,1169200
Indianapolis,IN,Indianapolis,Marion,105500,106600,107700,108800,109800,111000,112000,112800,113600,114300,114700,115100
Austin,TX,Austin,Travis,287500,289300,291600,294400,296800,299500,302400,305100,307500,310200,312800,314900
Fort Worth,TX,Dallas-Fort Worth,Tarrant,139600,140600,141600,142800,144300,145600,146800,148100,149600,151100,152600,154100
Columbus,OH,Columbus,Franklin,117300,117300,117600,118300,119200,120200,121500,123000,124500,125500,126000,126500
Memphis,TN,Memphis,Shelby,59400,59500,60000,61000,62300,63500,64500,65600,67100,68700,70100,71300
Charlotte,NC,Charlotte,Mecklenburg,165000,165900,167300,169000,170300,171400,172500,173700,175300,177300,179100,180800
El Paso,TX,El Paso,El Paso,115400,115000,114700,114400,114300,114300,114400,114300,114600,115300,115900,116300
Boston,MA,Boston,Suffolk,471000,474700,477600,480800,483800,487200,491500,496400,500800,504700,509000,515700
Seattle,WA,Seattle,King,555900,562300,569800,577600,585600,594300,602300,608600,614300,621200,628600,635100
Baltimore,MD,Baltimore,Baltimore City,79900,80300,80900,81400,81800,82200,83100,84300,85700,87500,89300,89900
Denver,CO,Denver,Denver,334800,336800,338700,341000,344100,347800,351900,355600,359100,362900,366600,369900
Washington,DC,Washington,District of Columbia,483900,484500,487300,492200,497200,501800,505700,508400,510200,514200,520900,528100
Nashville,TN,Nashville,Davidson,191500,193500,195800,198200,200500,202600,205200,207700,210200,212500,214900,217900
Milwaukee,WI,Milwaukee,Milwaukee,91100,90900,91100,91600,92300,92900,93600,94400,95500,96600,97600,98300
Tucson,AZ,Tucson,Pima,150400,151000,152200,153600,154400,155200,156400,157900,159300,160500,161100,161300
Portland,OR,Portland,Multnomah,360800,363400,367300,373700,381000,387900,392900,395500,397800,400700,405200,410600
Oklahoma City,OK,Oklahoma City,Oklahoma,106600,107600,109000,110400,111500,112700,114200,115500,116400,117300,118300,119500
Omaha,NE,Omaha,Douglas,142200,142700,143400,144100,144500,144700,145600,146900,147700,148300,148700,149200
Albuquerque,NM,Albuquerque,Bernalillo,177000,176700,176800,177200,177400,177800,178200,178400,178700,179500,180600,181600
Fresno,CA,Fresno,Fresno,189200,190100,191000,192400,193900,194600,195200,196700,198700,200200,201600,203500
Sacramento,CA,Sacramento,Sacramento,249900,251900,254800,258600,261500,263700,266400,269000,271400,274100,275900,277200
Mesa,AZ,Phoenix,Maricopa,196600,197300,198300,199800,201100,202200,203700,205800,207600,209300,211200,212700
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,502800,506500,509700,513200,515500,516600,518500,521500,525200,528300,531900,536100
Kansas City,MO,Kansas City,Jackson,112600,113300,113800,114200,115100,116200,117300,118000,118500,119300,120200,120800
Virginia Beach,VA,Virginia Beach,Virginia Beach City,244100,243500,243800,244600,245000,245800,247200,248400,248900,249600,251200,252700
Colorado Springs,CO,Colorado Springs,El Paso,220400,222100,224200,226100,227800,229400,231000,232700,234400,235700,237000,238600
Atlanta,GA,Atlanta,Fulton,167200,169400,172600,176900,180800,184500,189000,193500,196900,200100,203000,205700
Miami,FL,Miami-Fort Lauderdale,Miami-Dade,272500,274800,277200,278400,279300,283400,289100,291500,292500,295700,299400,302000
