Zipcode,City,State,CountyName,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value,Number of House Build in year,Avg_HomeValue,Employment Rate,Latitude,Longitude,Temp
90001,Florence-Graham,CA,Los Angeles,57942.0,28.0,34323.0,11294.0,18902.0,32.62227744986366,915.0,272200.0,1950.0,299950.0,44.48241344793069,33.97,-118.25,82.02
90002,Los Angeles,CA,Los Angeles,51826.0,27.5,32520.0,11212.0,18302.0,35.31432099718288,902.0,248200.0,1951.0,294666.66666666674,40.93891097132713,34.05,-118.24,82.62
90003,Los Angeles,CA,Los Angeles,70208.0,28.0,31878.0,10611.0,24556.0,34.9760711030082,958.0,268500.0,1951.0,300241.66666666674,42.456700091157714,34.05,-118.24,82.62
90004,Los Angeles,CA,Los Angeles,63095.0,35.5,43180.0,29194.0,12919.0,20.4754734923528,1044.0,838000.0,1946.0,1168491.666666667,57.777953879071255,34.05,-118.24,82.62
90005,Los Angeles,CA,Los Angeles,39338.0,33.9,31485.0,20265.0,11520.0,29.284661141898408,943.0,672600.0,1947.0,705191.6666666665,58.89724947887539,34.05,-118.24,82.62
90006,Los Angeles,CA,Los Angeles,61230.0,33.6,31993.0,14306.0,17456.0,28.508900865588764,916.0,469200.0,1950.0,545950.0,55.90560182916871,34.05,-118.24,82.62
90007,Los Angeles,CA,Los Angeles,41979.0,24.3,22485.0,11658.0,17605.0,41.937635484408865,1000.0,421200.0,1955.0,520200.0,45.20831844493675,34.05,-118.24,82.62
90008,Los Angeles,CA,Los Angeles,32060.0,43.7,36134.0,28316.0,6769.0,21.113537117903928,940.0,507900.0,1953.0,647116.6666666665,50.3337492202121,34.05,-118.24,82.62
90011,Los Angeles,CA,Los Angeles,104762.0,28.2,31684.0,10103.0,40661.0,38.81273744296596,888.0,294800.0,1944.0,320300.0,44.34336877875565,34.05,-118.24,82.62
90012,Los Angeles,CA,Los Angeles,32543.0,35.8,32712.0,21989.0,7755.0,23.830009525858088,1121.0,432700.0,1984.0,464950.0,38.37077097993424,34.05,-118.24,82.62
90013,Los Angeles,CA,Los Angeles,11668.0,43.7,22058.0,33518.0,5229.0,44.8148782996229,696.0,476700.0,1939.0,551158.3333333335,51.02845389098389,34.05,-118.24,82.62
90014,Los Angeles,CA,Los Angeles,7191.0,41.3,23580.0,39272.0,2809.0,39.06271728549576,758.0,403100.0,1939.0,483500.0,59.22681129189265,34.05,-118.24,82.62
90015,Los Angeles,CA,Los Angeles,19378.0,32.8,30463.0,28731.0,7366.0,38.0121787594179,875.0,560300.0,1974.0,636650.0,54.3657756218392,34.05,-118.24,82.62
90016,Los Angeles,CA,Los Angeles,47079.0,36.1,41140.0,21578.0,10438.0,22.171244079101086,1016.0,394100.0,1948.0,546391.6666666665,53.18932007901611,34.05,-118.24,82.62
90017,Los Angeles,CA,Los Angeles,25772.0,30.9,25143.0,20413.0,11732.0,45.52227223343164,848.0,511300.0,1965.0,579241.6666666665,52.37079000465621,34.05,-118.24,82.62
90018,Los Angeles,CA,Los Angeles,51639.0,34.8,35696.0,17937.0,13485.0,26.11398361703364,923.0,407600.0,1943.0,520650.0,49.344487693410024,34.05,-118.24,82.62
90019,Los Angeles,CA,Los Angeles,68530.0,37.6,47518.0,28915.0,14117.0,20.59973734131037,1095.0,694200.0,1944.0,891941.6666666665,57.401138187655036,34.05,-118.24,82.62
90020,Los Angeles,CA,Los Angeles,40170.0,34.2,40353.0,27106.0,7826.0,19.48220064724919,1109.0,566500.0,1968.0,460816.66666666674,60.02987303958179,34.05,-118.24,82.62
90022,East Los Angeles,CA,Los Angeles,67191.0,31.9,40650.0,14423.0,15659.0,23.305204566087717,945.0,326400.0,1948.0,382900.0,47.84420532511795,34.02,-118.17,83.08
90023,Los Angeles,CA,Los Angeles,46611.0,30.6,37472.0,12875.0,13071.0,28.042736693055293,900.0,324900.0,1943.0,349975.0,46.98247194868164,34.05,-118.24,82.62
90024,Los Angeles,CA,Los Angeles,49737.0,23.0,57210.0,43727.0,12553.0,25.238755855801514,1920.0,1091100.0,1972.0,1085916.666666667,47.79540382411485,34.05,-118.24,82.62
90025,Los Angeles,CA,Los Angeles,46520.0,34.1,72653.0,49219.0,5871.0,12.620378331900255,1623.0,729100.0,1973.0,828416.6666666665,67.06147893379192,34.05,-118.24,82.62
90026,Los Angeles,CA,Los Angeles,67557.0,34.5,51568.0,30685.0,15000.0,22.203472623118248,1056.0,647200.0,1941.0,783850.0,59.19741847624969,34.05,-118.24,82.62
90027,Los Angeles,CA,Los Angeles,46043.0,38.2,52922.0,41744.0,7539.0,16.373824468431682,1183.0,884800.0,1957.0,1326425.0,63.54277523184849,34.05,-118.24,82.62
90028,Los Angeles,CA,Los Angeles,31122.0,34.1,35729.0,28361.0,8369.0,26.890945311997946,1122.0,654200.0,1964.0,800583.3333333335,68.58492384808174,34.05,-118.24,82.62
90029,Los Angeles,CA,Los Angeles,40242.0,35.4,35132.0,19918.0,11062.0,27.48869340490036,980.0,584100.0,1956.0,742983.3333333335,58.26499676954426,34.05,-118.24,82.62
90031,Los Angeles,CA,Los Angeles,38940.0,35.6,36801.0,17069.0,10800.0,27.73497688751926,888.0,396000.0,1944.0,465933.33333333326,49.31432973805857,34.05,-118.24,82.62
90032,Los Angeles,CA,Los Angeles,47285.0,33.7,45218.0,18613.0,10833.0,22.91001374643121,930.0,382000.0,1953.0,455758.33333333326,51.673892354869395,34.05,-118.24,82.62
90033,Los Angeles,CA,Los Angeles,49156.0,29.5,29499.0,12212.0,18025.0,36.66897225160713,825.0,327800.0,1948.0,368850.0,41.81788591423224,34.05,-118.24,82.62
90034,Los Angeles,CA,Los Angeles,57443.0,33.4,60965.0,39185.0,8524.0,14.839057848649967,1402.0,715000.0,1970.0,974425.0,64.2132200616263,34.05,-118.24,82.62
90035,Los Angeles,CA,Los Angeles,30582.0,36.4,74667.0,50335.0,3449.0,11.277875874697536,1655.0,927800.0,1954.0,1188291.666666667,58.41344581780133,34.05,-118.24,82.62
90036,Los Angeles,CA,Los Angeles,37931.0,34.3,71917.0,52023.0,5072.0,13.371648519680473,1844.0,1039300.0,1945.0,1504425.0,65.19733199757454,34.05,-118.24,82.62
90037,Los Angeles,CA,Los Angeles,61451.0,29.7,27129.0,11330.0,24624.0,40.07095083887976,869.0,300100.0,1940.0,351508.33333333326,43.52899057785879,34.05,-118.24,82.62
90038,Los Angeles,CA,Los Angeles,28155.0,32.2,35739.0,23709.0,8524.0,30.275261942816552,1024.0,600300.0,1964.0,814950.0,63.53755993606819,34.05,-118.24,82.62
90039,Los Angeles,CA,Los Angeles,28436.0,39.3,77361.0,44638.0,2636.0,9.269939513293007,1320.0,681900.0,1943.0,811275.0,60.96849064566043,34.05,-118.24,82.62
90041,Los Angeles,CA,Los Angeles,28405.0,39.7,68457.0,33467.0,3018.0,10.624889984157717,1174.0,611400.0,1944.0,747166.6666666665,54.951593029396236,34.05,-118.24,82.62
