Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value,Employment Rate,Number of House Build in year
90001,ZCTA5 90001,57942.0,28.0,34323.0,11294.0,18902.0,32.62227744986366,915.0,272200.0,44.48241344793069,1950.0
90002,ZCTA5 90002,51826.0,27.5,32520.0,11212.0,18302.0,35.31432099718288,902.0,248200.0,40.93891097132713,1951.0
90003,ZCTA5 90003,70208.0,28.0,31878.0,10611.0,24556.0,34.9760711030082,958.0,268500.0,42.4567000911577,1951.0
90004,ZCTA5 90004,63095.0,35.5,43180.0,29194.0,12919.0,20.4754734923528,1044.0,838000.0,57.77795387907124,1946.0
90005,ZCTA5 90005,39338.0,33.9,31485.0,20265.0,11520.0,29.284661141898418,943.0,672600.0,58.89724947887539,1947.0
90006,ZCTA5 90006,61230.0,33.6,31993.0,14306.0,17456.0,28.508900865588764,916.0,469200.0,55.90560182916871,1950.0
90007,ZCTA5 90007,41979.0,24.3,22485.0,11658.0,17605.0,41.93763548440887,1000.0,421200.0,45.20831844493675,1955.0
90008,ZCTA5 90008,32060.0,43.7,36134.0,28316.0,6769.0,21.11353711790393,940.0,507900.0,50.333749220212106,1953.0
90010,ZCTA5 90010,3524.0,38.8,47569.0,37831.0,581.0,16.48694665153235,1635.0,759400.0,65.86265607264473,1983.0
90011,ZCTA5 90011,104762.0,28.2,31684.0,10103.0,40661.0,38.81273744296596,888.0,294800.0,44.343368778755654,1944.0
90012,ZCTA5 90012,32543.0,35.8,32712.0,21989.0,7755.0,23.830009525858095,1121.0,432700.0,38.37077097993424,1984.0
90013,ZCTA5 90013,11668.0,43.7,22058.0,33518.0,5229.0,44.8148782996229,696.0,476700.0,51.02845389098389,1939.0
90014,ZCTA5 90014,7191.0,41.3,23580.0,39272.0,2809.0,39.06271728549576,758.0,403100.0,59.226811291892645,1939.0
90015,ZCTA5 90015,19378.0,32.8,30463.0,28731.0,7366.0,38.0121787594179,875.0,560300.0,54.3657756218392,1974.0
90016,ZCTA5 90016,47079.0,36.1,41140.0,21578.0,10438.0,22.171244079101086,1016.0,394100.0,53.18932007901612,1948.0
90017,ZCTA5 90017,25772.0,30.9,25143.0,20413.0,11732.0,45.52227223343163,848.0,511300.0,52.370790004656214,1965.0
90018,ZCTA5 90018,51639.0,34.8,35696.0,17937.0,13485.0,26.113983617033636,923.0,407600.0,49.34448769341002,1943.0
90019,ZCTA5 90019,68530.0,37.6,47518.0,28915.0,14117.0,20.599737341310377,1095.0,694200.0,57.40113818765504,1944.0
90020,ZCTA5 90020,40170.0,34.2,40353.0,27106.0,7826.0,19.48220064724919,1109.0,566500.0,60.02987303958178,1968.0
90021,ZCTA5 90021,2954.0,43.7,12370.0,23213.0,1459.0,49.3906567366283,439.0,556500.0,50.77860528097495,1939.0
90022,ZCTA5 90022,67191.0,31.9,40650.0,14423.0,15659.0,23.30520456608772,945.0,326400.0,47.84420532511795,1948.0
90023,ZCTA5 90023,46611.0,30.6,37472.0,12875.0,13071.0,28.042736693055286,900.0,324900.0,46.98247194868164,1943.0
90024,ZCTA5 90024,49737.0,23.0,57210.0,43727.0,12553.0,25.238755855801514,1920.0,1091100.0,47.79540382411484,1972.0
