"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06"
"United States",0,204000,202900,204500,2e+05,2e+05,199995,199900,199500,199000,196900,194900,189500,185000,184900,187990,187500,189900,189900,189900,189900,189500,188900,185000,182400,180000,184000,185000,187470,189000,189500,189000,187900,185000,184900,184900,182500,184900,189000,190000,198000,199900,199900,199900,199900,199900,199900,199900,199000,199000,199900,208500,214900,219000,219900,219900,219900,219000,217900,218000,214900,215000,219000,222100,225900,230000,234900,232990,230000,233200,232000,232000,229900,229992,232000,239000,244500,247900,249500,249000,247000,248500,249000,245000,244000,242000,249000,250000,259000,262900,265000,264900,260000,261251,260990,260000,259900,259900,265000,269900,275000,279000,279500
"New York, NY",1,399000,398500,399000,398000,399000,399000,399000,398900,398876,395000,389900,385000,379000,369990,379500,379000,379000,375900,370000,369000,368900,360000,359000,359000,359000,359000,359000,369000,369000,368000,365000,359000,359900,359000,355000,349990,350000,359900,365000,369900,375000,369990,369000,365000,365900,365000,369900,369000,369900,374900,379900,389000,397947.5,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399999,399995,415000,419900,417450,419000,419777,418945,410000,425000,428999,425000,439000,439000,439000,439000,430000,435900,436995,439000,434900,439000,448995,449000,450000,465000,469000,469000,455000,460000,465000,469900,469000,465000,488888,489900,490000,499000,499000
"Los Angeles-Long Beach-Anaheim, CA",2,440000,429900,429900,429900,434900,434900,429900,439000,420000,409000,4e+05,397000,389000,387900,389000,389900,394900,395000,395000,389900,380000,375000,369000,359900,359900,360000,369000,375000,389000,399000,399900,405000,405000,400100,410000,419000,425000,440000,469000,495000,505000,525000,529000,529000,529000,525000,518880,509000,499990,518000,524900,539000,549000,550000,556500,554900,558888,549900,550000,540000,539000,549000,565000,580000,599900,609000,608000,608000,609000,609900,599950,599999,599999,619900,629000,639000,646147.5,649900,649000,649000,649000,649000,649000,640000,648598.5,649888,659900,679000,685000,680000,680000,675900,675578,675000,674900,669000,675444,691990,699000,699900,709331,719000
"Chicago, IL",3,239000,239000,239900,239000,238900,237900,229900,229900,220000,220000,219000,208900,199900,199900,199900,199999,204999,201000,199900,199500,198000,190000,185000,179900,179900,179900,184800,185000,187500,186900,180000,179900,179900,179000,179000,174900,174900,179900,185955,194900,199900,208000,204900,2e+05,204900,199900,199900,195000,194000,199900,215000,222111,229900,231800,229900,229000,225000,224000,219900,215000,210000,219900,229900,232500,239900,240000,239900,239900,237000,235000,230000,228900,228400,237700,248568,250000,257900,259900,257000,250000,250000,250000,249900,245000,245925,254900,264900,269900,270000,274900,269900,268500,267900,265000,264000,259000,259900,272735,279000,284900,285000,286990
"Dallas-Fort Worth, TX",4,175000,175000,178030,179900,180000,180000,179900,177500,179900,179900,179900,175000,173900,174550,174900,174900,178000,178500,179500,179000,175000,177990,176990,175125.5,175500,179200,179000,179900,184900,185000,183990,180000,179900,180000,184900,185000,184900,189500,198000,199998.5,205900,209000,205499,204990,204900,204990,202990,205990,209900,214976,219900,225000,230000,225000,225000,235000,231450,235000,239775,249900,254900,258990,270000,270000,265000,262990,259500,259900,259999,267500,269900,277994.5,279900,275000,285000,289000,290000,291832.5,289990,290000,295000,3e+05,299500,299900,3e+05,309900,315000,320000,324900,323000,319900,317971,319900,319900,317592.5,319000,322960,325532,329000,330000,331990,329500
"Philadelphia, PA",5,239900,239900,244000,240000,244900,240000,239900,235000,234900,229900,229900,224900,221250,221500,224900,225000,228000,225900,224900,224900,219900,219000,215000,210000,210000,214900,219555,219900,219000,217900,214900,212000,209898,204900,2e+05,199900,199900,2e+05,209900,215000,221990,224900,219000,210000,211900,210000,209900,210000,2e+05,205000,215000,224900,225000,227000,223900,219990,222000,219900,219900,214900,209900,214900,220000,229000,234900,230000,229000,225000,228650,224900,220000,215000,212500,215000,224900,229900,234900,237900,230000,229900,229900,229900,225000,215000,214900,219900,226000,235000,239900,239999,239990,238500,239900,240000,239470,229900,229000,231000,239000,246900,250000,259000
"Houston, TX",6,169000,169900,169900,169900,170000,172000,169900,169017.5,174000,171950,173775,169950,169900,169900,169990,169900,170000,172900,170000,170000,167900,169000,165640,168000,168500,169900,170000,173990,175000,175900,175000,175115,175950,175000,178990,182000,183000,190000,195900,199145,2e+05,205000,205000,206073.5,209900,215990,212000,214000,216995,225000,229900,238990,240000,243900,244900,249792.5,251654,255990,262490,274900,281990,284990,289537,296037.5,289000,279900,290000,295000,295000,299000,299000,304330.5,303990,290112,295990,295883,294900,295000,293000,289900,289000,289900,285900,285380,286995,289900,290524,295000,295990,295000,290000,290000,290000,289900,289900,291990,294900,295000,297000,298950,298764,295300.5
"Washington, DC",7,315000,319000,320000,329000,325000,324900,319900,314900,3e+05,305000,3e+05,295000,286000,289900,299100,299990,315000,319900,319900,315180,314900,315000,309500,3e+05,306900,315125,328200,339900,349500,349900,349000,340994.5,344990,345000,348600,339000,339000,349000,357990,369900,379900,379900,375000,369900,371209,369900,365000,360000,359000,364850,375000,385000,395000,394000,389900,386250,389000,387900,384900,375000,370000,374900,385000,395000,399000,399000,379000,389000,389990,389000,384000,379990,384950,384990,397500,410000,414995,414900,409900,399999,399999,4e+05,4e+05,399900,399000,4e+05,419990,429900,430000,429990,425945,420000,420000,419998,419900,410000,410000,419900,429900,439000,439900,439500
"Miami-Fort Lauderdale, FL",8,250000,249984,245000,239000,235000,229000,225000,220000,210000,208900,215000,204995,2e+05,209000,210000,2e+05,214000,217900,219900,224900,225000,225000,228000,229000,230000,234990,239000,230000,229000,230000,239000,239000,240000,208050,212500,215000,225000,235000,239000,242000,249000,248000,249000,244900,245000,248000,259000,254900,255000,259000,259000,259000,259900,265000,260000,264499,265000,265000,277000,279000,279000,279500,289000,285000,275000,279900,295000,298999,299899.5,299900,313060,315000,315000,315000,310000,325000,325000,329000,330000,330000,335990,339000,339000,339000,335000,339000,339934,344000,349000,349000,349800,349000,349950,349000,349500,349822,349000,349900,349900,350000,355000,356490
"Atlanta, GA",9,180000,179900,179999,180000,179900,176900,175000,174900,169900,169900,168800,159900,156900,155000,154900,150000,153000,153900,150000,150000,149900,147990,142900,139900,139900,139900,144900,145000,149900,150000,155000,159000,159900,164000,165995,168000,169900,175000,179900,189000,192000,196000,198000,195000,198900,197000,192500,189900,189000,194500,199900,209000,212000,219000,219645,215000,212901,209900,210000,204900,204900,207972,209900,214500,219500,220000,219900,224800,224900,224900,223990,224710,224900,225000,229700,235000,240000,244820,244840,240000,240000,244885,240000,239900,239900,240000,250000,259900,263900,265000,264900,260990,263795,265000,265000,265000,269900,274900,279896,286905,290000,289900
