RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
102001,United States,0,302097,293553,277504,276778,275296,273148,275922,276719,268625,261862,254752,267085,269758,268765,257123,259549,268719,277341,283208,288981,310742,318717,314189,301341,303973,310120,307387,301216,277501,259975,249452,250644,261662,263595,281899,290858,297336,288861,277018,268183,259398,265394,264350,268389,272744,277862,295868,309813,316475,309351,298275,293695,290201,290177,282819,293438,304745,320890,339423,347934,350058,343121,338184,338154,338706,341341,344801,345017,344006,343376,348232,350626,348472,342444,336496,341999,343723,341964,344780,351322,355216,361398,358096,368129,370133,375644,366337,372247,377502,384529,384201,378061,372797,372239,379521,405503,409801,409455,399743,408036,401925,407711,401663,405167,409198,411604,431251,432765,443676,428846,431351,431205,429694,431471,419115,430233,432866,436335,446003,443774,446532,438342,440805,445666
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9283,9657,10114,11220,11818,11509,11082,10597,10474,10011,9493,9108,8832,9230,9513,9982,10224,10546,10753,10633,10491,10193,10041,9929,10185,11105,11807,12042,11990,12380,12464,12647,12622,13301,13551,13521,13334,13233,12932,12821,12831,13330,13266,13285,13003,13092,13161,13198,13663,13461,14024,14087,14745,14452,14879,15270,16020,16182,15904,16104,16043,16117,16634,17461,18007,17382,17405,17153,17699,17497,17281,17476,17788,19388,20205,21038,21066,20982,21017,20262,20550,20028,20588,20604,20672,20961,21e3,21006,21620,22058,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,6490,6490,6391,6767,7169,7414,7847,8226,8260,8289,8298,8850,8841,8541,8076,8324,8727,8828,8917,9027,9413,9628,9475,9652,9472,9329,9049,8984,8643,8138,7801,7733,7965,8135,8787,9114,9237,8795,8250,7979,7752,8e3,8021,8093,8224,8312,8881,9361,9603,9373,9061,9012,9062,9266,8977,9321,9505,10202,10479,10697,10586,10298,10054,9811,9926,9887,9875,9774,9601,9512,9582,9653,9538,9348,9028,9097,8955,8929,8978,9179,9179,9316,9288,9600,9695,9901,9877,10148,10290,10238,10188,9912,9662,9631,9843,10399,10292,10108,9903,10057,9920,10078,9997,10089,10333,10342,10766,10598,10812,10228,10254,10442,10484,10533,10122,10324,10369,10069,10121,9960,10277,10026,9830,9685
394463,"Chicago, IL",3,11884,11534,10204,9738,9545,9433,9471,9233,8890,8464,8174,8735,9076,9211,8575,8303,8449,8633,8944,9261,10457,11195,11190,10997,10923,11181,10811,10590,9972,9175,8020,7326,7537,7974,8846,9384,9864,9373,8785,8429,8263,8430,8130,8104,8284,8708,9555,10251,10586,10275,9734,9562,9432,9675,9122,9053,8745,8966,10081,10818,11372,11233,10870,10871,11273,11669,11869,11962,12504,13019,13447,13838,13787,13521,12763,12810,12460,12099,12589,13197,13597,13474,12835,13561,13709,14246,13664,14008,14506,15227,15158,14631,13975,13588,13564,14924,15221,15244,14560,14914,14940,15062,14450,14177,14013,14185,14799,14743,15273,14987,15318,15129,15052,14879,13996,13778,13648,13877,14303,14242,14727,14888,15341,15981
394514,"Dallas-Fort Worth, TX",4,8534,7976,7301,7234,7150,7045,6993,6799,6552,6317,6320,6635,6726,6466,5966,5825,5968,6139,6211,6276,7048,7242,7241,6709,6772,6915,6953,6852,6160,5559,5015,5028,5491,5707,6274,6075,6287,5929,5997,5828,5661,5721,5597,5647,5705,5904,6362,6701,6724,6459,6322,6490,6719,6690,6383,6567,6787,7185,7675,7762,7936,7955,8082,8123,8011,8033,8041,7901,7800,7745,7944,8163,8221,8129,8074,8343,8438,8258,8344,8467,8678,8697,8643,8691,8687,8564,8436,8701,8865,8551,8464,8511,9124,9336,9732,10309,10392,10158,9636,9559,9398,9592,9518,9442,9753,9720,10352,10210,10402,9903,9776,9625,9649,9691,9701,9974,10220,10068,10587,10611,10765,9985,9708,9722
394974,"Philadelphia, PA",5,6846,6665,6116,5844,5625,5538,5626,5343,5096,4847,4639,4718,4604,4678,4412,4431,4614,4961,5329,5357,5694,5885,5554,5146,4922,5308,5443,5550,5378,4915,4356,3946,4044,4125,4318,4627,4714,4688,4378,4273,4142,4245,4137,4199,4134,4301,4645,5169,5261,5151,4920,4835,4905,4815,4606,4646,4870,5235,5658,5958,6064,5988,5803,5781,5811,5814,6006,5915,5853,5772,5679,5747,5468,5451,5298,5614,5674,5830,5900,5971,6070,6277,6445,6860,6894,6936,6565,6739,7236,7426,7562,7297,7213,7246,7131,7810,7786,8065,7890,8186,8137,8139,7913,7941,8083,8076,8573,8873,9424,9257,9196,9012,8964,8930,8888,9051,9427,9571,9932,9938,9773,9616,9316,
394692,"Houston, TX",6,6835,6467,6014,6056,5872,5666,4959,4794,4611,4858,4961,5281,5445,5261,4908,4998,5111,5199,5080,5136,5734,5759,5577,5169,5315,5604,5614,5695,5115,4734,4194,4266,4505,4518,5012,5011,5314,5049,5006,4963,4748,4863,4719,4811,4813,4848,5358,5545,5629,4964,4785,4858,5218,5020,4761,4777,4984,4997,5254,5743,6129,6527,6592,6802,6626,6614,6657,6517,6442,6366,6611,6472,6659,6717,6933,7030,6940,6071,6210,6437,7389,7400,7399,7342,7241,7063,6921,7144,7181,7203,6883,6780,6788,6801,7002,7460,7439,7188,6908,6947,6801,6888,6987,7377,7840,8050,8466,8433,8720,8447,8398,8448,8169,7711,7265,7674,8353,8446,8728,8893,8936,8511,8105,8247
395209,"Washington, DC",7,6113,6039,5736,5759,5678,5724,6067,6445,6532,6247,5720,5786,5910,6119,5854,5779,5486,5604,5584,5757,5970,5849,6001,5616,5698,5506,5590,5521,5099,5334,5159,5413,5113,5064,5333,5401,5900,5872,5872,5564,5250,5191,5003,4966,4946,4916,5384,5569,5736,5408,5451,5455,5471,5463,5115,5245,5548,5770,6368,6203,6449,6148,6244,6501,6450,6472,6411,6496,6422,6268,6250,6269,6297,6252,6059,6183,6308,6487,6596,6692,6769,6878,6917,7132,7171,7304,7248,7436,7589,7645,7534,7396,7348,7690,7654,8329,8282,8502,8387,8558,8601,8504,8310,8226,8576,8610,9248,9366,9791,9472,9283,9109,8790,8596,8522,8718,8937,8676,9097,9014,9225,8912,8940,8933
394856,"Miami-Fort Lauderdale, FL",8,5070,4833,4732,4860,4854,4838,4872,4930,4765,4734,5021,5525,5772,5596,5516,5748,5993,6247,6413,6753,6947,6942,7279,7262,7642,7315,7245,7151,7235,7359,7219,7066,7107,7425,8364,8956,9285,8975,8772,8491,8061,8217,8243,8005,7880,7709,8408,8395,8578,8390,8465,8259,8039,8105,8247,8661,8820,9166,9976,10406,10553,10218,10126,10240,10224,10344,10409,10525,10420,10363,10551,10589,10735,10624,10643,10486,10357,10406,10629,10887,11072,11291,11153,11188,11118,11281,11178,11311,11338,11365,11352,11013,10966,10811,10767,10899,10719,10612,10347,10563,10306,10237,9910,10004,10128,10175,10585,10664,10988,10861,11117,11181,11062,11126,9795,9977,9425,10183,10612,10774,11569,11488,11686,11401
394347,"Atlanta, GA",9,7414,7334,6812,6798,6880,6952,7031,7208,7234,7371,6882,6727,6673,6591,6426,6330,6703,7265,7278,7400,7747,8432,8002,7723,7309,7477,7019,6707,6239,6036,6238,7216,8184,8337,7957,7701,7571,7200,6982,7020,7570,8628,10300,11863,13008,12908,13333,13994,14381,14055,13050,13389,13764,14221,13850,14086,14442,14420,14611,14790,14850,14422,13662,13876,14009,14422,14199,14126,13769,13287,13220,13179,13448,12870,12736,12799,13136,13219,13254,13434,13416,13339,12997,13020,12834,13219,11635,10938,9529,9805,10889,11656,11346,11458,11870,14251,14544,15023,14558,15298,14440,13762,12041,11866,11853,12118,11174,10469,9962,10312,10720,10864,10961,10897,10432,10661,10801,11521,10927,10976,10547,11399,11282,
