Zipcode,City,State,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
94109,San Francisco,CA,San Francisco,1199600,1218000,1218400,1204600,1180500,1154700,1134600,1120600,1116200,1124000,1130800,1127200
90250,Hawthorne,CA,Los Angeles,499400,502800,507000,512100,516500,519700,523000,527100,531800,535100,538900,544900
94565,Pittsburg,CA,Contra Costa,338300,341700,344600,347400,350300,353200,355800,358400,361200,364600,367900,369700
90046,Los Angeles,CA,Los Angeles,1226700,1237800,1250600,1260500,1265100,1268900,1271300,1278700,1291800,1302700,1312500,1326100
94501,Alameda,CA,Alameda,848200,850900,851500,852700,853900,853000,855200,858600,862500,867300,873500,880600
90034,Los Angeles,CA,Los Angeles,925600,930400,939700,950500,956900,961100,970500,984900,998300,1006200,1020300,1048700
94110,San Francisco,CA,San Francisco,1294100,1297800,1296300,1290500,1287200,1288000,1289400,1299100,1320000,1340700,1355700,1369800
90044,Los Angeles,CA,Los Angeles,323100,326300,329400,332100,333500,335300,340000,346200,352700,357300,361000,364900
90805,Long Beach,CA,Los Angeles,373300,376700,380100,383500,386700,389300,392100,395200,398600,401100,403700,407300
95630,Folsom,CA,Sacramento,465500,468100,472900,478400,481000,482300,485200,488400,490500,493000,493500,493700
90650,Norwalk,CA,Los Angeles,407400,409400,411000,412700,414000,415500,418200,422200,426500,429500,432000,435300
92683,Westminster,CA,Orange,562000,561600,560800,561400,562800,564900,567600,570600,573700,578100,583700,589600
94558,Napa,CA,Napa,568800,575600,579900,583300,587000,591900,597500,603800,610700,616300,619600,623900
90026,Los Angeles,CA,Los Angeles,751500,756100,760100,763700,767800,773600,782600,794700,805800,812100,816600,821600
91910,Chula Vista,CA,San Diego,447300,449900,450600,452100,453900,455500,457600,460900,463400,465300,467500,469800
93722,Fresno,CA,Fresno,203900,204800,205700,206800,208000,209000,210100,211600,213200,214500,216200,218500
94533,Fairfield,CA,Solano,289200,291300,293000,295500,298800,302700,307000,311500,315400,318700,322800,327300
95608,Carmichael,CA,Sacramento,346500,347500,348900,350300,351800,353400,356200,358700,361700,365300,367200,368100
90066,Los Angeles,CA,Los Angeles,1144000,1156100,1166300,1176700,1184900,1192700,1201500,1207800,1213600,1224900,1240300,1257000
91709,Chino Hills,CA,San Bernardino,585300,587400,589000,591000,592800,593900,596000,600500,605200,609800,614100,618900
92677,Laguna Niguel,CA,Orange,766700,768700,769200,768700,768800,770600,772500,773400,774300,777400,782000,786300
95823,Sacramento,CA,Sacramento,212100,215200,218500,222000,225200,228100,230900,233400,236000,239400,241900,243500
92804,Anaheim,CA,Orange,492400,493600,494500,496100,498400,502200,507100,511900,515300,517700,520100,522400
